%time,field.header.seq,field.header.stamp,field.header.frame_id,field.image_seq
1682453097127359151,0,1682453097127359151,camera_3,1
1682453097143052816,1,1682453097143052816,camera_3,2
1682453097164016246,2,1682453097164016246,camera_3,3
1682453097180240869,3,1682453097180240869,camera_3,4
1682453097197534799,4,1682453097197534799,camera_3,5
1682453097215394973,5,1682453097215394973,camera_3,6
1682453097233253479,6,1682453097233253479,camera_3,7
1682453097250894069,7,1682453097250894069,camera_3,8
1682453097268350124,8,1682453097268350124,camera_3,9
1682453097285767078,9,1682453097285767078,camera_3,10
1682453097302706003,10,1682453097302706003,camera_3,11
1682453097320352077,11,1682453097320352077,camera_3,12
1682453097337524414,12,1682453097337524414,camera_3,13
1682453097354541301,13,1682453097354541301,camera_3,14
1682453097371910572,14,1682453097371910572,camera_3,15
1682453097388197898,15,1682453097388197898,camera_3,16
1682453097404675245,16,1682453097404675245,camera_3,17
1682453097421251296,17,1682453097421251296,camera_3,18
1682453097437690734,18,1682453097437690734,camera_3,19
1682453097454123258,19,1682453097454123258,camera_3,20
1682453097471483230,20,1682453097471483230,camera_3,21
1682453097488204240,21,1682453097488204240,camera_3,22
1682453097504704475,22,1682453097504704475,camera_3,23
1682453097521145582,23,1682453097521145582,camera_3,24
1682453097539428949,24,1682453097539428949,camera_3,25
1682453097555857419,25,1682453097555857419,camera_3,26
1682453097572417974,26,1682453097572417974,camera_3,27
1682453097589905977,27,1682453097589905977,camera_3,28
1682453097606645584,28,1682453097606645584,camera_3,29
1682453097623251914,29,1682453097623251914,camera_3,30
1682453097638529300,30,1682453097638529300,camera_3,31
1682453097657609701,31,1682453097657609701,camera_3,32
1682453097675289630,32,1682453097675289630,camera_3,33
1682453097692134380,33,1682453097692134380,camera_3,34
1682453097708574771,34,1682453097708574771,camera_3,35
1682453097725341796,35,1682453097725341796,camera_3,36
1682453097742201566,36,1682453097742201566,camera_3,37
1682453097759580612,37,1682453097759580612,camera_3,38
1682453097775890111,38,1682453097775890111,camera_3,39
1682453097794935464,39,1682453097794935464,camera_3,40
1682453097813430309,40,1682453097813430309,camera_3,41
1682453097827951669,41,1682453097827951669,camera_3,42
1682453097844037294,42,1682453097844037294,camera_3,43
1682453097862839698,43,1682453097862839698,camera_3,44
1682453097877516031,44,1682453097877516031,camera_3,45
1682453097893346786,45,1682453097893346786,camera_3,46
1682453097909808397,46,1682453097909808397,camera_3,47
1682453097926328420,47,1682453097926328420,camera_3,48
1682453097943536996,48,1682453097943536996,camera_3,49
1682453097959443092,49,1682453097959443092,camera_3,50
1682453097978847980,50,1682453097978847980,camera_3,51
1682453097994913816,51,1682453097994913816,camera_3,52
1682453098012061834,52,1682453098012061834,camera_3,53
1682453098029407024,53,1682453098029407024,camera_3,54
1682453098046921968,54,1682453098046921968,camera_3,55
1682453098065504312,55,1682453098065504312,camera_3,56
1682453098084432840,56,1682453098084432840,camera_3,57
1682453098100298643,57,1682453098100298643,camera_3,58
1682453098118583202,58,1682453098118583202,camera_3,59
1682453098135413408,59,1682453098135413408,camera_3,60
1682453098152297973,60,1682453098152297973,camera_3,61
1682453098168946027,61,1682453098168946027,camera_3,62
1682453098186555862,62,1682453098186555862,camera_3,63
1682453098203759431,63,1682453098203759431,camera_3,64
1682453098221501588,64,1682453098221501588,camera_3,65
1682453098238285779,65,1682453098238285779,camera_3,66
1682453098254617691,66,1682453098254617691,camera_3,67
1682453098271388769,67,1682453098271388769,camera_3,68
1682453098287839651,68,1682453098287839651,camera_3,69
1682453098304490089,69,1682453098304490089,camera_3,70
1682453098320696592,70,1682453098320696592,camera_3,71
1682453098337909936,71,1682453098337909936,camera_3,72
1682453098355162143,72,1682453098355162143,camera_3,73
1682453098372970819,73,1682453098372970819,camera_3,74
1682453098390244245,74,1682453098390244245,camera_3,75
1682453098405968189,75,1682453098405968189,camera_3,76
1682453098424128770,76,1682453098424128770,camera_3,77
1682453098441062927,77,1682453098441062927,camera_3,78
1682453098458822250,78,1682453098458822250,camera_3,79
1682453098476546287,79,1682453098476546287,camera_3,80
1682453098493862628,80,1682453098493862628,camera_3,81
1682453098511604547,81,1682453098511604547,camera_3,82
1682453098529042959,82,1682453098529042959,camera_3,83
1682453098546334028,83,1682453098546334028,camera_3,84
1682453098564053535,84,1682453098564053535,camera_3,85
1682453098581518173,85,1682453098581518173,camera_3,86
1682453098598759889,86,1682453098598759889,camera_3,87
1682453098616435050,87,1682453098616435050,camera_3,88
1682453098635908603,88,1682453098635908603,camera_3,89
1682453098650656223,89,1682453098650656223,camera_3,90
1682453098669604778,90,1682453098669604778,camera_3,91
1682453098687381505,91,1682453098687381505,camera_3,92
1682453098704994916,92,1682453098704994916,camera_3,93
1682453098722741603,93,1682453098722741603,camera_3,94
1682453098740416288,94,1682453098740416288,camera_3,95
1682453098757580995,95,1682453098757580995,camera_3,96
1682453098774085283,96,1682453098774085283,camera_3,97
1682453098790462493,97,1682453098790462493,camera_3,98
1682453098806699991,98,1682453098806699991,camera_3,99
1682453098824439048,99,1682453098824439048,camera_3,100
1682453098841996908,100,1682453098841996908,camera_3,101
1682453098859872341,101,1682453098859872341,camera_3,102
1682453098877681732,102,1682453098877681732,camera_3,103
1682453098894906044,103,1682453098894906044,camera_3,104
1682453098912645101,104,1682453098912645101,camera_3,105
1682453098930354595,105,1682453098930354595,camera_3,106
1682453098947508335,106,1682453098947508335,camera_3,107
1682453098963842868,107,1682453098963842868,camera_3,108
1682453098981878995,108,1682453098981878995,camera_3,109
1682453098999291896,109,1682453098999291896,camera_3,110
1682453099016351222,110,1682453099016351222,camera_3,111
1682453099034348964,111,1682453099034348964,camera_3,112
1682453099052021265,112,1682453099052021265,camera_3,113
1682453099069476842,113,1682453099069476842,camera_3,114
1682453099085577726,114,1682453099085577726,camera_3,115
1682453099100353002,115,1682453099100353002,camera_3,116
1682453099118386745,116,1682453099118386745,camera_3,117
1682453099134858131,117,1682453099134858131,camera_3,118
1682453099151531934,118,1682453099151531934,camera_3,119
1682453099167670488,119,1682453099167670488,camera_3,120
1682453099184360742,120,1682453099184360742,camera_3,121
1682453099200591564,121,1682453099200591564,camera_3,122
1682453099217185974,122,1682453099217185974,camera_3,123
1682453099234338521,123,1682453099234338521,camera_3,124
1682453099252559185,124,1682453099252559185,camera_3,125
1682453099269493818,125,1682453099269493818,camera_3,126
1682453099286070346,126,1682453099286070346,camera_3,127
1682453099302041769,127,1682453099302041769,camera_3,128
1682453099318578958,128,1682453099318578958,camera_3,129
1682453099335231304,129,1682453099335231304,camera_3,130
1682453099349721670,130,1682453099349721670,camera_3,131
1682453099366909265,131,1682453099366909265,camera_3,132
1682453099384053230,132,1682453099384053230,camera_3,133
1682453099402820825,133,1682453099402820825,camera_3,134
1682453099418340921,134,1682453099418340921,camera_3,135
1682453099437874078,135,1682453099437874078,camera_3,136
1682453099455577611,136,1682453099455577611,camera_3,137
1682453099471741914,137,1682453099471741914,camera_3,138
1682453099489484071,138,1682453099489484071,camera_3,139
1682453099505943536,139,1682453099505943536,camera_3,140
1682453099522200822,140,1682453099522200822,camera_3,141
1682453099539718151,141,1682453099539718151,camera_3,142
1682453099556641101,142,1682453099556641101,camera_3,143
1682453099572806358,143,1682453099572806358,camera_3,144
1682453099591671466,144,1682453099591671466,camera_3,145
1682453099608154535,145,1682453099608154535,camera_3,146
1682453099624730587,146,1682453099624730587,camera_3,147
1682453099641194581,147,1682453099641194581,camera_3,148
1682453099658721208,148,1682453099658721208,camera_3,149
1682453099675644874,149,1682453099675644874,camera_3,150
1682453099692573547,150,1682453099692573547,camera_3,151
1682453099709969043,151,1682453099709969043,camera_3,152
1682453099728139162,152,1682453099728139162,camera_3,153
1682453099744821548,153,1682453099744821548,camera_3,154
1682453099761935710,154,1682453099761935710,camera_3,155
1682453099779956579,155,1682453099779956579,camera_3,156
1682453099797232627,156,1682453099797232627,camera_3,157
1682453099814203023,157,1682453099814203023,camera_3,158
1682453099830003023,158,1682453099830003023,camera_3,159
1682453099847992897,159,1682453099847992897,camera_3,160
1682453099865333795,160,1682453099865333795,camera_3,161
1682453099882958412,161,1682453099882958412,camera_3,162
1682453099900057792,162,1682453099900057792,camera_3,163
1682453099917607307,163,1682453099917607307,camera_3,164
1682453099933349132,164,1682453099933349132,camera_3,165
1682453099952104330,165,1682453099952104330,camera_3,166
1682453099969738006,166,1682453099969738006,camera_3,167
1682453099986089944,167,1682453099986089944,camera_3,168
1682453100003146409,168,1682453100003146409,camera_3,169
1682453100020704507,169,1682453100020704507,camera_3,170
1682453100037573575,170,1682453100037573575,camera_3,171
1682453100055493116,171,1682453100055493116,camera_3,172
1682453100072136640,172,1682453100072136640,camera_3,173
1682453100087021350,173,1682453100087021350,camera_3,174
1682453100104599475,174,1682453100104599475,camera_3,175
1682453100122503280,175,1682453100122503280,camera_3,176
1682453100139665126,176,1682453100139665126,camera_3,177
1682453100156939983,177,1682453100156939983,camera_3,178
1682453100174198389,178,1682453100174198389,camera_3,179
1682453100191583395,179,1682453100191583395,camera_3,180
1682453100209256172,180,1682453100209256172,camera_3,181
1682453100227031469,181,1682453100227031469,camera_3,182
1682453100245352506,182,1682453100245352506,camera_3,183
1682453100262615203,183,1682453100262615203,camera_3,184
1682453100280419826,184,1682453100280419826,camera_3,185
1682453100296833992,185,1682453100296833992,camera_3,186
1682453100313442707,186,1682453100313442707,camera_3,187
1682453100330353260,187,1682453100330353260,camera_3,188
1682453100349115610,188,1682453100349115610,camera_3,189
1682453100366582632,189,1682453100366582632,camera_3,190
1682453100384336948,190,1682453100384336948,camera_3,191
1682453100401147127,191,1682453100401147127,camera_3,192
1682453100419539213,192,1682453100419539213,camera_3,193
1682453100435440778,193,1682453100435440778,camera_3,194
1682453100454857587,194,1682453100454857587,camera_3,195
1682453100472985506,195,1682453100472985506,camera_3,196
1682453100490713596,196,1682453100490713596,camera_3,197
1682453100508123397,197,1682453100508123397,camera_3,198
1682453100526301622,198,1682453100526301622,camera_3,199
1682453100541967868,199,1682453100541967868,camera_3,200
1682453100561153650,200,1682453100561153650,camera_3,201
1682453100578640699,201,1682453100578640699,camera_3,202
1682453100596885442,202,1682453100596885442,camera_3,203
1682453100613861560,203,1682453100613861560,camera_3,204
1682453100630305528,204,1682453100630305528,camera_3,205
1682453100647939920,205,1682453100647939920,camera_3,206
1682453100667208194,206,1682453100667208194,camera_3,207
1682453100682520151,207,1682453100682520151,camera_3,208
1682453100699123859,208,1682453100699123859,camera_3,209
1682453100716543674,209,1682453100716543674,camera_3,210
1682453100734192371,210,1682453100734192371,camera_3,211
1682453100753208875,211,1682453100753208875,camera_3,212
1682453100770895004,212,1682453100770895004,camera_3,213
1682453100788435697,213,1682453100788435697,camera_3,214
1682453100805700063,214,1682453100805700063,camera_3,215
1682453100824344158,215,1682453100824344158,camera_3,216
1682453100840482711,216,1682453100840482711,camera_3,217
1682453100858061790,217,1682453100858061790,camera_3,218
1682453100873945951,218,1682453100873945951,camera_3,219
1682453100891014575,219,1682453100891014575,camera_3,220
1682453100908246755,220,1682453100908246755,camera_3,221
1682453100924681901,221,1682453100924681901,camera_3,222
1682453100941792964,222,1682453100941792964,camera_3,223
1682453100958566427,223,1682453100958566427,camera_3,224
1682453100975944519,224,1682453100975944519,camera_3,225
1682453100993536233,225,1682453100993536233,camera_3,226
1682453101011482715,226,1682453101011482715,camera_3,227
1682453101028879404,227,1682453101028879404,camera_3,228
1682453101044812917,228,1682453101044812917,camera_3,229
1682453101063883781,229,1682453101063883781,camera_3,230
1682453101080038070,230,1682453101080038070,camera_3,231
1682453101096057176,231,1682453101096057176,camera_3,232
1682453101114023208,232,1682453101114023208,camera_3,233
1682453101129562616,233,1682453101129562616,camera_3,234
1682453101145836114,234,1682453101145836114,camera_3,235
1682453101165179252,235,1682453101165179252,camera_3,236
1682453101182989597,236,1682453101182989597,camera_3,237
1682453101200517416,237,1682453101200517416,camera_3,238
1682453101217971086,238,1682453101217971086,camera_3,239
1682453101233911037,239,1682453101233911037,camera_3,240
1682453101252781867,240,1682453101252781867,camera_3,241
1682453101269378185,241,1682453101269378185,camera_3,242
1682453101286260366,242,1682453101286260366,camera_3,243
1682453101304019451,243,1682453101304019451,camera_3,244
1682453101321480751,244,1682453101321480751,camera_3,245
1682453101338877677,245,1682453101338877677,camera_3,246
1682453101355637788,246,1682453101355637788,camera_3,247
1682453101372594356,247,1682453101372594356,camera_3,248
1682453101389901399,248,1682453101389901399,camera_3,249
1682453101405654191,249,1682453101405654191,camera_3,250
1682453101424123764,250,1682453101424123764,camera_3,251
1682453101439570188,251,1682453101439570188,camera_3,252
1682453101457083702,252,1682453101457083702,camera_3,253
1682453101474284648,253,1682453101474284648,camera_3,254
1682453101491962909,254,1682453101491962909,camera_3,255
1682453101509496688,255,1682453101509496688,camera_3,256
1682453101527110815,256,1682453101527110815,camera_3,257
1682453101543026208,257,1682453101543026208,camera_3,258
1682453101562218189,258,1682453101562218189,camera_3,259
1682453101579480171,259,1682453101579480171,camera_3,260
1682453101597321271,260,1682453101597321271,camera_3,261
1682453101614997386,261,1682453101614997386,camera_3,262
1682453101630784034,262,1682453101630784034,camera_3,263
1682453101648383378,263,1682453101648383378,camera_3,264
1682453101667584657,264,1682453101667584657,camera_3,265
1682453101684149265,265,1682453101684149265,camera_3,266
1682453101699013710,266,1682453101699013710,camera_3,267
1682453101718401193,267,1682453101718401193,camera_3,268
1682453101733980655,268,1682453101733980655,camera_3,269
1682453101752108812,269,1682453101752108812,camera_3,270
1682453101767682552,270,1682453101767682552,camera_3,271
1682453101784638643,271,1682453101784638643,camera_3,272
1682453101801446437,272,1682453101801446437,camera_3,273
1682453101818543195,273,1682453101818543195,camera_3,274
1682453101835377454,274,1682453101835377454,camera_3,275
1682453101851670265,275,1682453101851670265,camera_3,276
1682453101868137121,276,1682453101868137121,camera_3,277
1682453101884973764,277,1682453101884973764,camera_3,278
1682453101901728630,278,1682453101901728630,camera_3,279
1682453101919342756,279,1682453101919342756,camera_3,280
1682453101936288356,280,1682453101936288356,camera_3,281
1682453101952697038,281,1682453101952697038,camera_3,282
1682453101969409942,282,1682453101969409942,camera_3,283
1682453101986723899,283,1682453101986723899,camera_3,284
1682453102004812479,284,1682453102004812479,camera_3,285
1682453102022573709,285,1682453102022573709,camera_3,286
1682453102040209293,286,1682453102040209293,camera_3,287
1682453102060216665,287,1682453102060216665,camera_3,288
1682453102076670646,288,1682453102076670646,camera_3,289
1682453102094495058,289,1682453102094495058,camera_3,290
1682453102113792657,290,1682453102113792657,camera_3,291
1682453102130533218,291,1682453102130533218,camera_3,292
1682453102149518251,292,1682453102149518251,camera_3,293
1682453102168137550,293,1682453102168137550,camera_3,294
